TimeStamp,Origin,Trip,Destination,ScheduledTime,Lateness,Track,Status
1488570272,"North Station","323","Lowell",1488571200,0,,"On Time"
1488570272,"North Station","165","Newburyport",1488572100,0,,"On Time"
1488570272,"North Station","211","Haverhill",1488572100,0,,"On Time"
1488570272,"North Station","415","Wachusett",1488573000,0,,"On Time"
1488570272,"North Station","113","Rockport",1488573300,0,,"On Time"
1488570272,"North Station","325","Lowell",1488573600,0,,"On Time"
1488570272,"North Station","291","Reading",1488574200,0,,"On Time"
1488570272,"North Station","493","Littleton / Rte 495",1488574740,0,,"On Time"
1488570272,"North Station","115","Rockport",1488575700,0,,"On Time"
1488570272,"North Station","327","Lowell",1488575700,0,,"On Time"
1488570272,"North Station","167","Newburyport",1488576600,0,,"On Time"
1488570272,"North Station","213","Haverhill",1488576600,0,,"On Time"
1488570272,"North Station","417","Wachusett",1488576600,0,,"On Time"
1488570272,"North Station","193","Beverly",1488577200,0,,"On Time"
1488570272,"North Station","329","Lowell",1488577500,0,,"On Time"
1488570272,"North Station","293","Reading",1488577680,0,,"On Time"
1488570272,"North Station","117","Rockport",1488578400,0,,"On Time"
1488570272,"North Station","419","Wachusett",1488578400,0,,"On Time"
1488570272,"North Station","331","Lowell",1488579000,0,,"On Time"
1488570272,"South Station","769","Readville",1488570300,0,"10","All Aboard"
1488570272,"South Station","041","Kingston",1488570420,0,"12","Now Boarding"
1488570272,"South Station","613","Needham Heights",1488571200,0,,"On Time"
1488570272,"South Station","817","Wickford Junction",1488572700,0,,"On Time"
1488570272,"South Station","771","Readville",1488573000,0,,"On Time"
1488570272,"South Station","517","Worcester / Union Station",1488573000,0,,"On Time"
1488570272,"South Station","913","Stoughton",1488573300,0,,"On Time"
1488570272,"South Station","589","Framingham",1488573600,0,,"On Time"
1488570272,"South Station","017","Middleboro/Lakeville",1488573780,0,,"On Time"
1488570272,"South Station","715","Forge Park / 495",1488574080,0,,"On Time"
1488570272,"South Station","819","Providence",1488574500,0,,"On Time"
1488570272,"South Station","081","Greenbush",1488574920,0,,"On Time"
1488570272,"South Station","615","Needham Heights",1488575100,0,,"On Time"
1488570272,"South Station","773","Readville",1488575700,0,,"On Time"
1488570272,"South Station","743","Norwood Central",1488575700,0,,"On Time"
1488570272,"South Station","915","Stoughton",1488576000,0,,"On Time"
1488570272,"South Station","043","Kingston",1488576000,0,,"On Time"
